Model,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7933673469387755,0.782312925170068,0.3924050632911392,0.6595744680851063,0.49206349206349204,0.7933499870789904
SVM,0.9617346938775511,0.8503401360544217,0.5384615384615384,0.44680851063829785,0.4883720930232558,0.7438194504263933
XGBoost,0.9693877551020408,0.8605442176870748,0.625,0.3191489361702128,0.4225352112676056,0.7706951503144114
LightGBM,0.9634353741496599,0.8605442176870748,0.625,0.3191489361702128,0.4225352112676056,0.7667327073822036
Gradient Boosting,0.9965986394557823,0.8537414965986394,0.5769230769230769,0.3191489361702128,0.410958904109589,0.7675941080196399
Random Forest,0.9829931972789115,0.8537414965986394,0.5833333333333334,0.2978723404255319,0.39436619718309857,0.776638814712723
Decision Tree,0.8333333333333334,0.7721088435374149,0.3275862068965517,0.40425531914893614,0.3619047619047619,0.7355500043070031
KNN,1.0,0.5578231292517006,0.21768707482993196,0.6808510638297872,0.32989690721649484,0.6690068050650357
